Arhitectura sistemelor de calcul
Calcul diferenţial şi integral
Instrumente şi tehnici de bază in Informatică
Programarea algoritmilor
Structuri algebrice în informatică
Tehnici web
Baze de date
Geometrie şi algebră liniară
Limbaje formale şi automate
Limbă străină II - Limba franceză
Logică matematică şi computaţională
Programare orientată pe obiecte
Structuri de date
